Sample,emax,Ct1S0pp,Ct1S0np,Ct1S0nn,Ct3S1,C1S0,C3P0,C1P1,C3P1,C3S1,CE1,C3P2,c1,c2,c3,c4,cD,cE,Nucl bra,J bra,P bra,n bra,Energy bra,Nucl ket,J ket,P ket,n ket,Energy ket,Zero,One,Two,Rp2,M1,E2,M1_2BC,Rch
3772,4,-0.318321717464,-0.324232720555,-0.323173810537,-0.241144983307,2.223150839042,0.483495417341,-0.032536234121,-1.095733613593,0.883608052288,0.232495818763,-0.872389636749,-0.743915446073,-0.500105210151,-0.651971735281,0.949867846418,-1.658594602415,-0.415280755698,Ca49,3/2,-,1.0,-165.17345699999998,Ca49,3/2,-,1.0,-165.17345699999998,12.4136226,0.2630865496213943,-0.0229356706876668,12.653773478933728,-1.5778667330254004,-2.9375442042796,-0.012330597840500002,3.6457419504037483
5287,4,-0.355975966789,-0.357231173798,-0.356216176467,-0.242183388595,2.779207512741,0.429880719176,-0.125734894987,-1.369509152273,0.905655842577,0.20654970276,-0.868544396381,-0.741224902628,-0.820088817984,-0.221434314263,0.757740279093,3.187886167978,0.719712036447,Ca49,3/2,-,1.0,-137.741874,Ca49,3/2,-,1.0,-137.741874,13.2958102,0.3010647054059309,-0.0212455300286591,13.575629375377272,-1.1977548909229003,-2.8702968525571992,-0.039906391502799995,3.7700517589785516
5407,6,-0.329714237581,-0.337504164393,-0.335489010926,-0.243021549847,2.434388875723,1.361883794238,-0.098211120185,-1.280240106801,0.931472831284,0.212277866463,-0.866563467882,-0.762656096492,-0.586885662788,-0.53235242121,0.903124674934,-1.482510246495,-0.243137561892,Ca49,3/2,-,1.0,-224.2918,Ca49,3/2,-,1.0,-224.2918,12.8981148,0.1661314523809635,-0.0264882880030683,13.037757964377894,-1.7425303506966001,-2.9865575153433994,-0.06555988114730009,3.698029049964034
7078,4,-0.333445465249,-0.336911362318,-0.337506725737,-0.246097980776,2.527352816945,0.782434660464,-0.004327679098,-1.154339578327,0.766172475443,0.532908962362,-0.862660276905,-0.738147309369,-0.391065451842,-0.756990368257,0.999605791972,-0.564167469489,-0.18045180328,Ca49,3/2,-,1.0,-272.092396,Ca49,3/2,-,1.0,-272.092396,11.4688598,0.2756125663562555,-0.0268273835816203,11.717644982774635,-1.6115844070317,-3.325128662751,0.0033634272340998996,3.5150115039320475
15412,4,-0.336678037786,-0.337633529024,-0.337496673934,-0.250521781007,2.487066264973,1.480662155906,-0.000377765293,-1.111432020387,0.816046597305,0.522983321575,-0.851961796265,-0.754939462783,-0.465960461307,-0.696210370241,0.9702425976,-0.082520950317,0.022949233772,Ca49,3/2,-,1.0,-209.734321,Ca49,3/2,-,1.0,-209.734321,12.6567912,0.1555843011392723,-0.0355972216756586,12.776778279463615,-1.7302684283256002,-3.032217200937,-0.011720542932999997,3.6625727527878014
17355,4,-0.336561153286,-0.33070418896,-0.335932473018,-0.224544672229,2.398932671841,0.773157523453,0.058309291234,-1.034842942211,0.655914815072,0.246053008514,-0.726935994258,-0.744303890167,-0.342739287553,-0.847046591711,1.032626946939,3.438269510077,0.624358198542,Ca49,3/2,-,1.0,-145.978619,Ca49,3/2,-,1.0,-145.978619,13.9591109,0.2652616109685172,-0.0191959552711877,14.20517655569733,-1.2884723367487003,-2.4978375334320004,-0.0504874651350999,3.8526403213507137
17862,4,-0.339407331906,-0.346224882003,-0.344764017923,-0.235294677209,2.622145616686,0.926474485368,-0.034361135771,-1.278659916215,0.797885795311,0.242501864652,-0.893021379595,-0.774986637344,-0.633464644149,-0.470639849557,0.86827824714,2.695208283526,0.609130728323,Ca49,3/2,-,1.0,-149.431245,Ca49,3/2,-,1.0,-149.431245,13.3032494,0.1923237071960476,-0.0276657483218531,13.467907358874195,-1.4748340664584003,-2.929174758576,-0.0319729208846,3.7557380431646448
18060,4,-0.340280973313,-0.340546121747,-0.341688787882,-0.237628162514,2.577477992714,1.145271295162,0.083405575355,-0.888401597679,0.806921994071,0.284284851188,-0.836000012719,-0.765847644927,-0.403501795356,-0.789390242156,0.956625533854,-2.363699016063,-0.239097286356,Ca49,3/2,-,1.0,-174.669578,Ca49,3/2,-,1.0,-174.669578,13.1816715,0.0835386683537834,-0.0352221574768942,13.22998801087689,-1.650280214509,-2.8369284323398,-0.0184192509803,3.7239292287685717
18208,6,-0.344004966406,-0.343946783263,-0.347869116257,-0.234567495303,2.666463812408,1.094527839182,0.009644544733,-0.890962729802,0.747596188667,0.3038638834,-0.892955134995,-0.719420368298,-0.476276238839,-0.620618557429,0.987753542416,1.500127316468,0.420315707058,Ca49,3/2,-,1.0,-240.118856,Ca49,3/2,-,1.0,-240.118856,13.5223326,0.2789548074807233,-0.0225997318996953,13.778687675581027,-1.6177613605768004,-2.9938114269158,-0.0655972356516999,3.796886693803362
23778,4,-0.328657229577,-0.327255432275,-0.329000960225,-0.240573665232,2.343591832867,1.491773843029,0.02982155246,-1.063158302609,0.699066698757,0.499009200744,-0.753879185394,-0.727061343852,-0.305586469849,-0.875137485332,1.099406253431,3.884709223548,0.661740777372,Ca49,3/2,-,1.0,-175.417497,Ca49,3/2,-,1.0,-175.417497,13.7639294,0.1852219543833778,-0.0299318837341374,13.91921947064924,-1.5769385351636005,-2.8087278340852,-0.0347802228439999,3.815347999940404
