Sample,emax,Ct1S0pp,Ct1S0np,Ct1S0nn,Ct3S1,C1S0,C3P0,C1P1,C3P1,C3S1,CE1,C3P2,c1,c2,c3,c4,cD,cE,Nucl bra,J bra,P bra,n bra,Energy bra,Nucl ket,J ket,P ket,n ket,Energy ket,Zero,One,Two,Rp2,M1,E2,M1_2BC,Rch
3772,4,-0.318321717464,-0.324232720555,-0.323173810537,-0.241144983307,2.223150839042,0.483495417341,-0.032536234121,-1.095733613593,0.883608052288,0.232495818763,-0.872389636749,-0.743915446073,-0.500105210151,-0.651971735281,0.949867846418,-1.658594602415,-0.415280755698,Ca39,3/2,+,1.0,-134.9584102,Ca39,3/2,+,1.0,-134.9584102,2.99520371,10.102231391645386,-0.5536108609515212,12.543824240693866,1.7245665928440002,3.6214313691716002,-0.4012054612090999,3.6385416214046344
5287,4,-0.355975966789,-0.357231173798,-0.356216176467,-0.242183388595,2.779207512741,0.429880719176,-0.125734894987,-1.369509152273,0.905655842577,0.20654970276,-0.868544396381,-0.741224902628,-0.820088817984,-0.221434314263,0.757740279093,3.187886167978,0.719712036447,Ca39,3/2,+,1.0,-124.068028,Ca39,3/2,+,1.0,-124.068028,3.29429815,10.497304518559412,-0.4068040258383395,13.384798642721073,1.7772363525751,3.9690990718747,-0.4166868822922999,3.752327215571834
5407,6,-0.329714237581,-0.337504164393,-0.335489010926,-0.243021549847,2.434388875723,1.361883794238,-0.098211120185,-1.280240106801,0.931472831284,0.212277866463,-0.866563467882,-0.762656096492,-0.586885662788,-0.53235242121,0.903124674934,-1.482510246495,-0.243137561892,Ca39,3/2,+,1.0,-185.1222695,Ca39,3/2,+,1.0,-185.1222695,3.08121788,10.939220557980166,-0.9261059914967406,13.094332446483426,1.9597499694004998,3.7026774743498994,-0.4350325962909,3.7134207055602286
7078,4,-0.333445465249,-0.336911362318,-0.337506725737,-0.246097980776,2.527352816945,0.782434660464,-0.004327679098,-1.154339578327,0.766172475443,0.532908962362,-0.862660276905,-0.738147309369,-0.391065451842,-0.756990368257,0.999605791972,-0.564167469489,-0.18045180328,Ca39,3/2,+,1.0,-214.923644,Ca39,3/2,+,1.0,-214.923644,2.7494204,9.369727864158191,-0.5796120793523117,11.539536184805879,1.6790261762432999,3.5208297556418007,-0.3882775142434999,3.497813184663509
15412,4,-0.336678037786,-0.337633529024,-0.337496673934,-0.250521781007,2.487066264973,1.480662155906,-0.000377765293,-1.111432020387,0.816046597305,0.522983321575,-0.851961796265,-0.754939462783,-0.465960461307,-0.696210370241,0.9702425976,-0.082520950317,0.022949233772,Ca39,3/2,+,1.0,-173.7387129,Ca39,3/2,+,1.0,-173.7387129,3.05621418,10.042707430630982,-0.3356539961986099,12.76326761443237,2.0071564547875,3.5698696109042993,-0.301249112866,3.6685730883318066
17355,4,-0.336561153286,-0.33070418896,-0.335932473018,-0.224544672229,2.398932671841,0.773157523453,0.058309291234,-1.034842942211,0.655914815072,0.246053008514,-0.726935994258,-0.744303890167,-0.342739287553,-0.847046591711,1.032626946939,3.438269510077,0.624358198542,Ca39,3/2,+,1.0,-129.6336836,Ca39,3/2,+,1.0,-129.6336836,3.46870321,10.55135147573364,-0.0341404648888905,13.98591422084475,1.7700245295361,4.1003368722199,-0.3881997601896,3.8315891103881103
17862,4,-0.339407331906,-0.346224882003,-0.344764017923,-0.235294677209,2.622145616686,0.926474485368,-0.034361135771,-1.278659916215,0.797885795311,0.242501864652,-0.893021379595,-0.774986637344,-0.633464644149,-0.470639849557,0.86827824714,2.695208283526,0.609130728323,Ca39,3/2,+,1.0,-126.6516473,Ca39,3/2,+,1.0,-126.6516473,3.28673014,10.441152364671405,-0.3441723318599218,13.383710172811483,1.8511868935894997,3.9645726967570005,-0.4046000553309,3.752182173457398
18060,4,-0.340280973313,-0.340546121747,-0.341688787882,-0.237628162514,2.577477992714,1.145271295162,0.083405575355,-0.888401597679,0.806921994071,0.284284851188,-0.836000012719,-0.765847644927,-0.403501795356,-0.789390242156,0.956625533854,-2.363699016063,-0.239097286356,Ca39,3/2,+,1.0,-148.4004667,Ca39,3/2,+,1.0,-148.4004667,3.26726087,10.399359382472715,-0.4016440266534606,13.264976225819254,1.96238186738,3.7559249881795997,-0.3207194512184,3.7363266875126504
18208,6,-0.344004966406,-0.343946783263,-0.347869116257,-0.234567495303,2.666463812408,1.094527839182,0.009644544733,-0.890962729802,0.747596188667,0.3038638834,-0.892955134995,-0.719420368298,-0.476276238839,-0.620618557429,0.987753542416,1.500127316468,0.420315707058,Ca39,3/2,+,1.0,-200.1952328,Ca39,3/2,+,1.0,-200.1952328,3.23304285,11.25596092060054,-0.7784053136944615,13.710598456906078,1.9507997168101998,3.7960534998446005,-0.3761071283328,3.7954919769255313
23778,4,-0.328657229577,-0.327255432275,-0.329000960225,-0.240573665232,2.343591832867,1.491773843029,0.02982155246,-1.063158302609,0.699066698757,0.499009200744,-0.753879185394,-0.727061343852,-0.305586469849,-0.875137485332,1.099406253431,3.884709223548,0.661740777372,Ca39,3/2,+,1.0,-150.468413,Ca39,3/2,+,1.0,-150.468413,3.39688078,10.355046666358092,0.0296042500422623,13.781531696400354,1.9477347637662001,4.2630347904259995,-0.3330332558287,3.804824908770488
