Sample,emax,Ct1S0pp,Ct1S0np,Ct1S0nn,Ct3S1,C1S0,C3P0,C1P1,C3P1,C3S1,CE1,C3P2,c1,c2,c3,c4,cD,cE,Nucl bra,J bra,P bra,n bra,Energy bra,Nucl ket,J ket,P ket,n ket,Energy ket,Zero,One,Two,Rp2,M1,E2,M1_2BC,Rch
3772,4,-0.318321717464,-0.324232720555,-0.323173810537,-0.241144983307,2.223150839042,0.483495417341,-0.032536234121,-1.095733613593,0.883608052288,0.232495818763,-0.872389636749,-0.743915446073,-0.500105210151,-0.651971735281,0.949867846418,-1.658594602415,-0.415280755698,Ca37,3/2,+,1.0,-116.282229,Ca37,3/2,+,1.0,-116.282229,3.04001787,9.914977398270342,-0.4499137825037637,12.505081485766578,1.3134830564824997,-3.727088749914399,-0.40757901919579986,3.6347960569702638
5287,4,-0.355975966789,-0.357231173798,-0.356216176467,-0.242183388595,2.779207512741,0.429880719176,-0.125734894987,-1.369509152273,0.905655842577,0.20654970276,-0.868544396381,-0.741224902628,-0.820088817984,-0.221434314263,0.757740279093,3.187886167978,0.719712036447,Ca37,3/2,+,1.0,-105.8644569,Ca37,3/2,+,1.0,-105.8644569,3.32997221,10.353538093930194,-0.2754248290256516,13.408085474904544,1.3276647796651002,-3.6086943284711994,-0.40883126934949976,3.756959723620223
5407,6,-0.329714237581,-0.337504164393,-0.335489010926,-0.243021549847,2.434388875723,1.361883794238,-0.098211120185,-1.280240106801,0.931472831284,0.212277866463,-0.866563467882,-0.762656096492,-0.586885662788,-0.53235242121,0.903124674934,-1.482510246495,-0.243137561892,Ca37,3/2,+,1.0,-163.4393728,Ca37,3/2,+,1.0,-163.4393728,3.12826703,10.723884100716443,-0.6974842181538904,13.154666912562552,1.5684706197674,-3.472200147050599,-0.45411756321480024,3.7230804184925352
7078,4,-0.333445465249,-0.336911362318,-0.337506725737,-0.246097980776,2.527352816945,0.782434660464,-0.004327679098,-1.154339578327,0.766172475443,0.532908962362,-0.862660276905,-0.738147309369,-0.391065451842,-0.756990368257,0.999605791972,-0.564167469489,-0.18045180328,Ca37,3/2,+,1.0,-191.3321678,Ca37,3/2,+,1.0,-191.3321678,2.79700913,9.151467134454704,-0.4736100337278578,11.474866230726846,1.2476373682283999,-3.976820860571096,-0.38921438481939996,3.490204452568194
15412,4,-0.336678037786,-0.337633529024,-0.337496673934,-0.250521781007,2.487066264973,1.480662155906,-0.000377765293,-1.111432020387,0.816046597305,0.522983321575,-0.851961796265,-0.754939462783,-0.465960461307,-0.696210370241,0.9702425976,-0.082520950317,0.022949233772,Ca37,3/2,+,1.0,-153.6346384,Ca37,3/2,+,1.0,-153.6346384,3.04504581,9.863943814591522,-0.2709237699637413,12.638065854627781,1.4979372555493995,-4.3119680770521,-0.3354709563093999,3.653043490656494
17355,4,-0.336561153286,-0.33070418896,-0.335932473018,-0.224544672229,2.398932671841,0.773157523453,0.058309291234,-1.034842942211,0.655914815072,0.246053008514,-0.726935994258,-0.744303890167,-0.342739287553,-0.847046591711,1.032626946939,3.438269510077,0.624358198542,Ca37,3/2,+,1.0,-112.6300422,Ca37,3/2,+,1.0,-112.6300422,3.46762468,10.425663725884842,0.0561707534158044,13.949459159300647,1.3597575828025,-3.7407804258796,-0.3889085904002998,3.8283312355778003
17862,4,-0.339407331906,-0.346224882003,-0.344764017923,-0.235294677209,2.622145616686,0.926474485368,-0.034361135771,-1.278659916215,0.797885795311,0.242501864652,-0.893021379595,-0.774986637344,-0.633464644149,-0.470639849557,0.86827824714,2.695208283526,0.609130728323,Ca37,3/2,+,1.0,-108.6732823,Ca37,3/2,+,1.0,-108.6732823,3.29689494,10.290715377848178,-0.2344923212776072,13.353117996570571,1.3788065039689,-4.312105231547405,-0.4063563964423998,3.7496371673230695
18060,4,-0.340280973313,-0.340546121747,-0.341688787882,-0.237628162514,2.577477992714,1.145271295162,0.083405575355,-0.888401597679,0.806921994071,0.284284851188,-0.836000012719,-0.765847644927,-0.403501795356,-0.789390242156,0.956625533854,-2.363699016063,-0.239097286356,Ca37,3/2,+,1.0,-129.7353297,Ca37,3/2,+,1.0,-129.7353297,3.2432681,10.24985290065765,-0.3108893625588179,13.182231638098832,1.4770760840292996,-4.278529604714999,-0.3450251450302999,3.7267804507508666
18208,6,-0.344004966406,-0.343946783263,-0.347869116257,-0.234567495303,2.666463812408,1.094527839182,0.009644544733,-0.890962729802,0.747596188667,0.3038638834,-0.892955134995,-0.719420368298,-0.476276238839,-0.620618557429,0.987753542416,1.500127316468,0.420315707058,Ca37,3/2,+,1.0,-178.3741968,Ca37,3/2,+,1.0,-178.3741968,3.26150417,11.022048926653929,-0.5440827920827747,13.739470304571155,1.5335049233458002,-3.5163744008949003,-0.3899863115366998,3.80080665051133
23778,4,-0.328657229577,-0.327255432275,-0.329000960225,-0.240573665232,2.343591832867,1.491773843029,0.02982155246,-1.063158302609,0.699066698757,0.499009200744,-0.753879185394,-0.727061343852,-0.305586469849,-0.875137485332,1.099406253431,3.884709223548,0.661740777372,Ca37,3/2,+,1.0,-132.1897889,Ca37,3/2,+,1.0,-132.1897889,3.36340098,10.211788259100304,0.1092639832569801,13.684453222357284,1.4709153955120997,-4.7103555794302014,-0.3508373601515999,3.7935621930261383
