Sample,emax,Ct1S0pp,Ct1S0np,Ct1S0nn,Ct3S1,C1S0,C3P0,C1P1,C3P1,C3S1,CE1,C3P2,c1,c2,c3,c4,cD,cE,Nucl bra,J bra,P bra,n bra,Energy bra,Nucl ket,J ket,P ket,n ket,Energy ket,Zero,One,Two,Rp2,M1,E2,M1_2BC,Rch
5287,4,-0.355975966789,-0.357231173798,-0.356216176467,-0.242183388595,2.779207512741,0.429880719176,-0.125734894987,-1.369509152273,0.905655842577,0.20654970276,-0.868544396381,-0.741224902628,-0.820088817984,-0.221434314263,0.757740279093,3.187886167978,0.719712036447,Ca47,7/2,-,1.0,-136.414159,Ca47,7/2,-,1.0,-136.414159,13.2889118,0.220126762605357,-0.0090967893476229,13.499941773257733,-1.3645843858256999,6.8573557901451005,-0.3056155451079,3.761529298471266
5407,6,-0.329714237581,-0.337504164393,-0.335489010926,-0.243021549847,2.434388875723,1.361883794238,-0.098211120185,-1.280240106801,0.931472831284,0.212277866463,-0.866563467882,-0.762656096492,-0.586885662788,-0.53235242121,0.903124674934,-1.482510246495,-0.243137561892,Ca47,7/2,-,1.0,-218.033935,Ca47,7/2,-,1.0,-218.033935,12.8901367,0.0710799413051288,-0.0114552930514774,12.94976134825365,-1.6814483940261997,6.635716035271101,-0.4094012689196999,3.6876716554288897
15412,4,-0.336678037786,-0.337633529024,-0.337496673934,-0.250521781007,2.487066264973,1.480662155906,-0.000377765293,-1.111432020387,0.816046597305,0.522983321575,-0.851961796265,-0.754939462783,-0.465960461307,-0.696210370241,0.9702425976,-0.082520950317,0.022949233772,Ca47,7/2,-,1.0,-204.877354,Ca47,7/2,-,1.0,-204.877354,12.6524253,0.0997956068669259,-0.0170931401247486,12.73512776674218,-1.8511544705204999,7.0329460205049,-0.19621106921070008,3.6584544081814356
17862,4,-0.339407331906,-0.346224882003,-0.344764017923,-0.235294677209,2.622145616686,0.926474485368,-0.034361135771,-1.278659916215,0.797885795311,0.242501864652,-0.893021379595,-0.774986637344,-0.633464644149,-0.470639849557,0.86827824714,2.695208283526,0.609130728323,Ca47,7/2,-,1.0,-146.541342,Ca47,7/2,-,1.0,-146.541342,13.3038124,0.1218703836786844,-0.0137865281891271,13.411896255489557,-1.6809734065577,6.941487957380101,-0.2830729750640999,3.749807614463648
18208,6,-0.344004966406,-0.343946783263,-0.347869116257,-0.234567495303,2.666463812408,1.094527839182,0.009644544733,-0.890962729802,0.747596188667,0.3038638834,-0.892955134995,-0.719420368298,-0.476276238839,-0.620618557429,0.987753542416,1.500127316468,0.420315707058,Ca47,7/2,-,1.0,-233.900703,Ca47,7/2,-,1.0,-233.900703,13.5091158,0.1625419210301429,-0.0088479000891947,13.662809820940948,-1.5771692276950005,6.630350044862099,-0.3842573289295001,3.7831165341475996
23778,4,-0.328657229577,-0.327255432275,-0.329000960225,-0.240573665232,2.343591832867,1.491773843029,0.02982155246,-1.063158302609,0.699066698757,0.499009200744,-0.753879185394,-0.727061343852,-0.305586469849,-0.875137485332,1.099406253431,3.884709223548,0.661740777372,Ca47,7/2,-,1.0,-173.151559,Ca47,7/2,-,1.0,-173.151559,13.7665405,0.1123692368379875,-0.0154055343573289,13.863504202480657,-1.7283855857140002,7.143871956825102,-0.2546992687726,3.80954919806539
24111,6,-0.347389784031,-0.352137646931,-0.346436021317,-0.255202894287,2.789459639443,1.016714226466,-0.025814968845,-1.173114194817,0.843037170003,0.567857783434,-0.875215889135,-0.738656850867,-0.534748542359,-0.608230254267,0.923811002799,-0.401198370376,0.171126088353,Ca47,7/2,-,1.0,-317.671259,Ca47,7/2,-,1.0,-317.671259,11.4111676,0.1207970763079531,-0.0094667517059362,11.522497924602018,-1.6538338783256992,6.8117039004640985,-0.2835378069028,3.4887904515178345
26807,4,-0.325228004936,-0.319450891558,-0.322259700062,-0.239838951132,2.167160299447,1.357264654054,0.027412083331,-1.139211537494,0.726749089118,0.441689379722,-0.823430354623,-0.741993389945,-0.34562678068,-0.826568978678,1.126005359662,0.397787740932,-0.189475021575,Ca47,7/2,-,1.0,-184.352104,Ca47,7/2,-,1.0,-184.352104,12.7505778,0.1525907036394003,-0.013025228918001,12.8901432747214,-1.9103415598226001,6.8880586844291996,-0.2288427254151001,3.67957934616464
27641,6,-0.332965845739,-0.329169170966,-0.333919121534,-0.231783350113,2.267998871741,1.180126152521,-0.018407669941,-1.138716665248,0.752349756619,0.215572570333,-0.788350300063,-0.738825081814,-0.48741127838,-0.700051394556,0.956280474016,1.190193161933,-0.015094917912,Ca47,7/2,-,1.0,-185.006222,Ca47,7/2,-,1.0,-185.006222,14.263212,0.2549022754092039,-0.0087185113384184,14.509395764070785,-1.6248305210251999,6.466779350382699,-0.4552851436898002,3.8933991131234906
29451,4,-0.331056927,-0.337961082198,-0.332460168577,-0.258502156255,2.453895716358,0.467355808233,-0.025697490676,-1.02929826274,0.953856369543,0.466616626347,-0.867184494074,-0.708004970964,-0.449185100476,-0.703489464765,0.97091337316,1.661469582368,0.337769901169,Ca47,7/2,-,1.0,-251.209109,Ca47,7/2,-,1.0,-251.209109,11.9822246,0.2228221792271777,-0.0103601836554148,12.194686595571763,-1.7625390762624005,7.0457782800235025,-0.2291756887361001,3.58383139748116
29919,6,-0.327434455367,-0.323362019428,-0.323514633071,-0.243432844874,2.232625093772,0.582155586536,0.025101828698,-1.019549310443,0.885366660652,0.291211868397,-0.742253531546,-0.714088167013,-0.440268730193,-0.691142585456,0.907257365461,-0.914417821492,-0.238505739068,Ca47,7/2,-,1.0,-217.374052,Ca47,7/2,-,1.0,-217.374052,13.1056919,0.3193277649086836,-0.0069059686285376,13.418113696280146,-1.5624689815311,6.392521490081199,-0.4042189732745,3.75063655747663
29954,4,-0.335677110115,-0.341073627582,-0.335592188906,-0.264061906705,2.49767386622,1.167204926943,-0.033640253404,-1.058573037679,1.01329282954,0.513801251147,-0.793434863745,-0.753493034085,-0.604149137018,-0.498427487142,0.901251478829,-1.030653986112,-0.244293866315,Ca47,7/2,-,1.0,-151.12752,Ca47,7/2,-,1.0,-151.12752,13.7039597,0.1039217317891792,-0.0191990570877995,13.78868237470138,-1.6377694863653995,7.5776951147729,-0.2102237056868001,3.799716208442596
33709,4,-0.341313693701,-0.337269503798,-0.34070730962,-0.256635292937,2.431953887899,1.315460482594,0.004242914608,-1.110028389651,0.874395375721,0.565749177855,-0.773214789946,-0.748169427487,-0.524849057942,-0.605154046216,0.902689042266,-3.235292949651,-1.044531926109,Ca47,7/2,-,1.0,-155.89744000000002,Ca47,7/2,-,1.0,-155.89744000000002,13.6403908,0.1296219744701749,-0.0180486564917797,13.751964117978394,-1.7212951743851002,7.684291955892,-0.1969136087931001,3.7948814221235416
35191,6,-0.357145641546,-0.352266291572,-0.351523358776,-0.248428814597,2.674295486345,1.073799809763,-0.108617929356,-1.339075265809,0.88419069826,0.335918994882,-0.913698472226,-0.747966825878,-0.776217881207,-0.303108427328,0.820134997756,1.263110607899,0.180646677536,Ca47,7/2,-,1.0,-221.437127,Ca47,7/2,-,1.0,-221.437127,12.9224678,0.2234214544922586,-0.0101755169917453,13.135713737500513,-1.5661542882161006,6.8535462430241,-0.4041305617901002,3.7127987593593748
35448,8,-0.332339689324,-0.331583912749,-0.329070582234,-0.24243501632,2.350940197441,0.875951280977,0.028018787729,-0.91689763857,0.77291849655,0.382881408332,-0.834049275696,-0.781724309498,-0.503847908082,-0.698184205455,0.912055774182,-1.004371806017,-0.273817850095,Ca47,7/2,-,1.0,-254.400783,Ca47,7/2,-,1.0,-254.400783,13.1320498,0.229176736835994,-0.0109975688815195,13.350228967954475,-1.5173561874101003,6.3399885693828,-0.45209692205080015,3.7415758522251656
45524,4,-0.316753204598,-0.32204664039,-0.322455538326,-0.229156657252,2.257661055295,0.725889831851,0.118864748533,-0.966582908901,0.67940042876,0.293940520576,-0.747604905537,-0.768418183736,-0.181206319794,-1.109814905722,1.149324282819,2.171562507451,0.472221728204,Ca47,7/2,-,1.0,-200.805336,Ca47,7/2,-,1.0,-200.805336,13.0215409,0.1732147078426738,-0.0094786469215541,13.185276960921119,-1.6986156903541996,6.8190151944071005,-0.2789567938119001,3.7194674149562217
46516,6,-0.325189570099,-0.324537339874,-0.330046814285,-0.239937316517,2.194887559602,0.478179452408,0.012902815294,-0.914639867946,0.898464430779,0.21592589001,-0.808121251221,-0.748082402393,-0.45984137658,-0.702149285053,0.968102133771,-3.919386105424,-1.05278562229,Ca47,7/2,-,1.0,-201.695565,Ca47,7/2,-,1.0,-201.695565,13.3532819,0.2707887123543617,-0.006755103550628,13.617315508803735,-1.722631491007,6.208493748186101,-0.3996864628375001,3.7770989395041976
