Sample,emax,Ct1S0pp,Ct1S0np,Ct1S0nn,Ct3S1,C1S0,C3P0,C1P1,C3P1,C3S1,CE1,C3P2,c1,c2,c3,c4,cD,cE,Nucl bra,J bra,P bra,n bra,Energy bra,Nucl ket,J ket,P ket,n ket,Energy ket,Zero,One,Two,Rp2,M1,E2,M1_2BC,Rch
3772,4,-0.318321717464,-0.324232720555,-0.323173810537,-0.241144983307,2.223150839042,0.483495417341,-0.032536234121,-1.095733613593,0.883608052288,0.232495818763,-0.872389636749,-0.743915446073,-0.500105210151,-0.651971735281,0.949867846418,-1.658594602415,-0.415280755698,Ca45,7/2,-,1.0,-154.69243699999998,Ca45,7/2,-,1.0,-154.69243699999998,12.4131413,0.1449669079724401,0.0067117185826498,12.56481992655509,-2.0834356429319003,1.903755175361,-0.2627984019881,3.6366854162210798
5407,6,-0.329714237581,-0.337504164393,-0.335489010926,-0.243021549847,2.434388875723,1.361883794238,-0.098211120185,-1.280240106801,0.931472831284,0.212277866463,-0.866563467882,-0.762656096492,-0.586885662788,-0.53235242121,0.903124674934,-1.482510246495,-0.243137561892,Ca45,7/2,-,1.0,-209.881333,Ca45,7/2,-,1.0,-209.881333,12.9328163,0.0483377156210307,0.0020537771724789,12.983207792793511,-1.9193470295326,1.8956980543482005,-0.4326403639127001,3.6937607776889814
7078,4,-0.333445465249,-0.336911362318,-0.337506725737,-0.246097980776,2.527352816945,0.782434660464,-0.004327679098,-1.154339578327,0.766172475443,0.532908962362,-0.862660276905,-0.738147309369,-0.391065451842,-0.756990368257,0.999605791972,-0.564167469489,-0.18045180328,Ca45,7/2,-,1.0,-251.069304,Ca45,7/2,-,1.0,-251.069304,11.4505787,0.1522695594381397,0.0051624478660795,11.608010707304217,-2.1125946757831002,2.0880171555464,-0.2088649195987,3.5026663554075794
15412,4,-0.336678037786,-0.337633529024,-0.337496673934,-0.250521781007,2.487066264973,1.480662155906,-0.000377765293,-1.111432020387,0.816046597305,0.522983321575,-0.851961796265,-0.754939462783,-0.465960461307,-0.696210370241,0.9702425976,-0.082520950317,0.022949233772,Ca45,7/2,-,1.0,-197.333612,Ca45,7/2,-,1.0,-197.333612,12.6692821,0.0796960128219602,0.0015455078323031,12.750523620654263,-2.0463518874229005,2.0142324240178,-0.2073089129727,3.6621284126385114
17862,4,-0.339407331906,-0.346224882003,-0.344764017923,-0.235294677209,2.622145616686,0.926474485368,-0.034361135771,-1.278659916215,0.797885795311,0.242501864652,-0.893021379595,-0.774986637344,-0.633464644149,-0.470639849557,0.86827824714,2.695208283526,0.609130728323,Ca45,7/2,-,1.0,-141.856382,Ca45,7/2,-,1.0,-141.856382,13.3156284,0.0906859860647871,0.0019459912681434,13.408260377332931,-1.9446534708596004,2.0644399002907003,-0.2945676948711999,3.750856071263323
18060,4,-0.340280973313,-0.340546121747,-0.341688787882,-0.237628162514,2.577477992714,1.145271295162,0.083405575355,-0.888401597679,0.806921994071,0.284284851188,-0.836000012719,-0.765847644927,-0.403501795356,-0.789390242156,0.956625533854,-2.363699016063,-0.239097286356,Ca45,7/2,-,1.0,-166.49335299999998,Ca45,7/2,-,1.0,-166.49335299999998,13.2030832,0.0370901213503623,0.0005575612220123,13.240730882572374,-2.0044841972197,1.9788239096654003,-0.227027984275,3.7284570230287453
18208,6,-0.344004966406,-0.343946783263,-0.347869116257,-0.234567495303,2.666463812408,1.094527839182,0.009644544733,-0.890962729802,0.747596188667,0.3038638834,-0.892955134995,-0.719420368298,-0.476276238839,-0.620618557429,0.987753542416,1.500127316468,0.420315707058,Ca45,7/2,-,1.0,-225.139196,Ca45,7/2,-,1.0,-225.139196,13.5534818,0.1011923793756776,0.0042965213900921,13.658970700765769,-1.8448303887433999,1.9870998397064001,-0.4039773889978999,3.7841289077891846
23778,4,-0.328657229577,-0.327255432275,-0.329000960225,-0.240573665232,2.343591832867,1.491773843029,0.02982155246,-1.063158302609,0.699066698757,0.499009200744,-0.753879185394,-0.727061343852,-0.305586469849,-0.875137485332,1.099406253431,3.884709223548,0.661740777372,Ca45,7/2,-,1.0,-167.953785,Ca45,7/2,-,1.0,-167.953785,13.7817374,0.0847120650686472,0.0010406842247228,13.86749014929337,-1.9826070112399,2.0820513345541,-0.2654050891172,3.811581173121382
24111,6,-0.347389784031,-0.352137646931,-0.346436021317,-0.255202894287,2.789459639443,1.016714226466,-0.025814968845,-1.173114194817,0.843037170003,0.567857783434,-0.875215889135,-0.738656850867,-0.534748542359,-0.608230254267,0.923811002799,-0.401198370376,0.171126088353,Ca45,7/2,-,1.0,-305.046598,Ca45,7/2,-,1.0,-305.046598,11.4470338,0.0752422943470167,0.0036570175740644,11.52593311192108,-1.8720420804626,1.9556910438188995,-0.3028022968766,3.490930248790583
25266,4,-0.332689246953,-0.336354729443,-0.330625456731,-0.24309331515,2.466148750615,0.507794425644,0.054546135869,-0.922750918393,0.79674015176,0.393773329001,-0.773535763886,-0.714947074889,-0.388579918714,-0.772542337833,1.014043464681,-3.661816657592,-0.67160979479,Ca45,7/2,-,1.0,-180.609369,Ca45,7/2,-,1.0,-180.609369,12.3190052,0.1348751844251092,0.0035395780176923,12.4574199624428,-1.9523591461452001,2.1152319182281003,-0.21020018817510008,3.621889127574559
