Sample,emax,Ct1S0pp,Ct1S0np,Ct1S0nn,Ct3S1,C1S0,C3P0,C1P1,C3P1,C3S1,CE1,C3P2,c1,c2,c3,c4,cD,cE,Nucl bra,J bra,P bra,n bra,Energy bra,Nucl ket,J ket,P ket,n ket,Energy ket,Zero,One,Two,Rp2,M1,E2,M1_2BC,Rch
3772,4,-0.318321717464,-0.324232720555,-0.323173810537,-0.241144983307,2.223150839042,0.483495417341,-0.032536234121,-1.095733613593,0.883608052288,0.232495818763,-0.872389636749,-0.743915446073,-0.500105210151,-0.651971735281,0.949867846418,-1.658594602415,-0.415280755698,Ca53,1/2,-,1.0,-168.223938,Ca53,1/2,-,1.0,-168.223938,12.448913,0.4964996511032879,-0.0695715590979574,12.87584109200533,0.6420031249378001,0.0,-0.133487092213,3.672941870218658
5287,4,-0.355975966789,-0.357231173798,-0.356216176467,-0.242183388595,2.779207512741,0.429880719176,-0.125734894987,-1.369509152273,0.905655842577,0.20654970276,-0.868544396381,-0.741224902628,-0.820088817984,-0.221434314263,0.757740279093,3.187886167978,0.719712036447,Ca53,1/2,-,1.0,-134.25075,Ca53,1/2,-,1.0,-134.25075,13.311311,0.529318415940319,-0.0686831847277858,13.771946231212533,0.45581235132849995,0.0,-0.10079928242599989,3.7929681149744106
5407,6,-0.329714237581,-0.337504164393,-0.335489010926,-0.243021549847,2.434388875723,1.361883794238,-0.098211120185,-1.280240106801,0.931472831284,0.212277866463,-0.866563467882,-0.762656096492,-0.586885662788,-0.53235242121,0.903124674934,-1.482510246495,-0.243137561892,Ca53,1/2,-,1.0,-228.962858,Ca53,1/2,-,1.0,-228.962858,13.0139023,0.4819031350654629,-0.0684300359661014,13.427375399099363,0.7328397506547999,0.0,-0.1098165888226999,3.747270511865852
7078,4,-0.333445465249,-0.336911362318,-0.337506725737,-0.246097980776,2.527352816945,0.782434660464,-0.004327679098,-1.154339578327,0.766172475443,0.532908962362,-0.862660276905,-0.738147309369,-0.391065451842,-0.756990368257,0.999605791972,-0.564167469489,-0.18045180328,Ca53,1/2,-,1.0,-284.336201,Ca53,1/2,-,1.0,-284.336201,11.5468712,0.5074248904879547,-0.0760270910072469,11.978268999480708,0.6637455611655999,0.0,-0.1350432834813,3.5486518411194847
15412,4,-0.336678037786,-0.337633529024,-0.337496673934,-0.250521781007,2.487066264973,1.480662155906,-0.000377765293,-1.111432020387,0.816046597305,0.522983321575,-0.851961796265,-0.754939462783,-0.465960461307,-0.696210370241,0.9702425976,-0.082520950317,0.022949233772,Ca53,1/2,-,1.0,-209.201368,Ca53,1/2,-,1.0,-209.201368,12.6994199,0.3659312961654015,-0.0884488152499519,12.97690238091545,0.7016163372721002,0.0,-0.1495703791630999,3.686673740774392
17355,4,-0.336561153286,-0.33070418896,-0.335932473018,-0.224544672229,2.398932671841,0.773157523453,0.058309291234,-1.034842942211,0.655914815072,0.246053008514,-0.726935994258,-0.744303890167,-0.342739287553,-0.847046591711,1.032626946939,3.438269510077,0.624358198542,Ca53,1/2,-,1.0,-140.84308099999998,Ca53,1/2,-,1.0,-140.84308099999998,13.9350451,0.5753508764027824,-0.0635002431448575,14.446895733257923,0.2668654778053,0.0,-0.0975322431516999,3.8809221356860437
17862,4,-0.339407331906,-0.346224882003,-0.344764017923,-0.235294677209,2.622145616686,0.926474485368,-0.034361135771,-1.278659916215,0.797885795311,0.242501864652,-0.893021379595,-0.774986637344,-0.633464644149,-0.470639849557,0.86827824714,2.695208283526,0.609130728323,Ca53,1/2,-,1.0,-147.386678,Ca53,1/2,-,1.0,-147.386678,13.3123083,0.4272535171144261,-0.0744224176184609,13.665139399495965,0.6190869080613,0.0,-0.13539704266739988,3.778862300944024
18060,4,-0.340280973313,-0.340546121747,-0.341688787882,-0.237628162514,2.577477992714,1.145271295162,0.083405575355,-0.888401597679,0.806921994071,0.284284851188,-0.836000012719,-0.765847644927,-0.403501795356,-0.789390242156,0.956625533854,-2.363699016063,-0.239097286356,Ca53,1/2,-,1.0,-170.343783,Ca53,1/2,-,1.0,-170.343783,13.1899616,0.2536768969357906,-0.0844472159821035,13.359191280953686,0.7093063398627001,0.0,-0.1439947234058999,3.738161603108363
18208,6,-0.344004966406,-0.343946783263,-0.347869116257,-0.234567495303,2.666463812408,1.094527839182,0.009644544733,-0.890962729802,0.747596188667,0.3038638834,-0.892955134995,-0.719420368298,-0.476276238839,-0.620618557429,0.987753542416,1.500127316468,0.420315707058,Ca53,1/2,-,1.0,-244.105262,Ca53,1/2,-,1.0,-244.105262,13.6623058,0.588857588152318,-0.0653132332211095,14.18585015493121,0.7006473968254999,0.0,-0.0925843790988998,3.847143231663101
23778,4,-0.328657229577,-0.327255432275,-0.329000960225,-0.240573665232,2.343591832867,1.491773843029,0.02982155246,-1.063158302609,0.699066698757,0.499009200744,-0.753879185394,-0.727061343852,-0.305586469849,-0.875137485332,1.099406253431,3.884709223548,0.661740777372,Ca53,1/2,-,1.0,-169.23975399999998,Ca53,1/2,-,1.0,-169.23975399999998,13.7625167,0.4530882504220029,-0.0753983699088331,14.140206580513171,0.6393838855114999,0.0,-0.1483862154103,3.8412065123491046
