Sample,emax,Ct1S0pp,Ct1S0np,Ct1S0nn,Ct3S1,C1S0,C3P0,C1P1,C3P1,C3S1,CE1,C3P2,c1,c2,c3,c4,cD,cE,Nucl bra,J bra,P bra,n bra,Energy bra,Nucl ket,J ket,P ket,n ket,Energy ket,Zero,One,Two,Rp2,M1,E2,M1_2BC,Rch
3772,4,-0.318321717464,-0.324232720555,-0.323173810537,-0.241144983307,2.223150839042,0.483495417341,-0.032536234121,-1.095733613593,0.883608052288,0.232495818763,-0.872389636749,-0.743915446073,-0.500105210151,-0.651971735281,0.949867846418,-1.658594602415,-0.415280755698,Ca41,7/2,-,1.0,-142.18052500000002,Ca41,7/2,-,1.0,-142.18052500000002,12.4558947,0.0255812132999999,0.0,12.4814759133,-2.567082,-5.297126,-0.274315,3.6283793632006014
5287,4,-0.355975966789,-0.357231173798,-0.356216176467,-0.242183388595,2.779207512741,0.429880719176,-0.125734894987,-1.369509152273,0.905655842577,0.20654970276,-0.868544396381,-0.741224902628,-0.820088817984,-0.221434314263,0.757740279093,3.187886167978,0.719712036447,Ca41,7/2,-,1.0,-129.032535,Ca41,7/2,-,1.0,-129.032535,13.3121357,0.0292118741,0.0,13.3413475741,-2.541805,-5.603386,-0.323611,3.7449977922690425
5407,6,-0.329714237581,-0.337504164393,-0.335489010926,-0.243021549847,2.434388875723,1.361883794238,-0.098211120185,-1.280240106801,0.931472831284,0.212277866463,-0.866563467882,-0.762656096492,-0.586885662788,-0.53235242121,0.903124674934,-1.482510246495,-0.243137561892,Ca41,7/2,-,1.0,-193.108466,Ca41,7/2,-,1.0,-193.108466,13.0193682,0.0065388088999999,0.0,13.0259070089,-2.392887,-5.066568,-0.473015,3.7026433664208063
7078,4,-0.333445465249,-0.336911362318,-0.337506725737,-0.246097980776,2.527352816945,0.782434660464,-0.004327679098,-1.154339578327,0.766172475443,0.532908962362,-0.862660276905,-0.738147309369,-0.391065451842,-0.756990368257,0.999605791972,-0.564167469489,-0.18045180328,Ca41,7/2,-,1.0,-228.891849,Ca41,7/2,-,1.0,-228.891849,11.4865625,0.0312860393,0.0,11.5178485393,-2.620115,-5.042788,-0.218186,3.4930659068073706
15412,4,-0.336678037786,-0.337633529024,-0.337496673934,-0.250521781007,2.487066264973,1.480662155906,-0.000377765293,-1.111432020387,0.816046597305,0.522983321575,-0.851961796265,-0.754939462783,-0.465960461307,-0.696210370241,0.9702425976,-0.082520950317,0.022949233772,Ca41,7/2,-,1.0,-181.989833,Ca41,7/2,-,1.0,-181.989833,12.7376942,0.0138750596,0.0,12.7515692596,-2.460131,-5.274137,-0.213878,3.665409956553291
17355,4,-0.336561153286,-0.33070418896,-0.335932473018,-0.224544672229,2.398932671841,0.773157523453,0.058309291234,-1.034842942211,0.655914815072,0.246053008514,-0.726935994258,-0.744303890167,-0.342739287553,-0.847046591711,1.032626946939,3.438269510077,0.624358198542,Ca41,7/2,-,1.0,-134.254404,Ca41,7/2,-,1.0,-134.254404,14.0054115,0.0202682523,0.0,14.025679752299999,-2.514959,-5.662981,-0.326919,3.835275823496923
17862,4,-0.339407331906,-0.346224882003,-0.344764017923,-0.235294677209,2.622145616686,0.926474485368,-0.034361135771,-1.278659916215,0.797885795311,0.242501864652,-0.893021379595,-0.774986637344,-0.633464644149,-0.470639849557,0.86827824714,2.695208283526,0.609130728323,Ca41,7/2,-,1.0,-132.539975,Ca41,7/2,-,1.0,-132.539975,13.3548128,0.014622116,0.0,13.369434916,-2.525847,-5.531999,-0.304317,3.7487458977636776
18060,4,-0.340280973313,-0.340546121747,-0.341688787882,-0.237628162514,2.577477992714,1.145271295162,0.083405575355,-0.888401597679,0.806921994071,0.284284851188,-0.836000012719,-0.765847644927,-0.403501795356,-0.789390242156,0.956625533854,-2.363699016063,-0.239097286356,Ca41,7/2,-,1.0,-155.178116,Ca41,7/2,-,1.0,-155.178116,13.2577426,0.0035769993,0.0,13.2613195993,-2.498214,-5.348897,-0.238655,3.73429785760322
18208,6,-0.344004966406,-0.343946783263,-0.347869116257,-0.234567495303,2.666463812408,1.094527839182,0.009644544733,-0.890962729802,0.747596188667,0.3038638834,-0.892955134995,-0.719420368298,-0.476276238839,-0.620618557429,0.987753542416,1.500127316468,0.420315707058,Ca41,7/2,-,1.0,-207.973517,Ca41,7/2,-,1.0,-207.973517,13.6353108,0.0140068273,0.0,13.649317627299999,-2.37616,-5.053949,-0.438906,3.785892037195461
23778,4,-0.328657229577,-0.327255432275,-0.329000960225,-0.240573665232,2.343591832867,1.491773843029,0.02982155246,-1.063158302609,0.699066698757,0.499009200744,-0.753879185394,-0.727061343852,-0.305586469849,-0.875137485332,1.099406253431,3.884709223548,0.661740777372,Ca41,7/2,-,1.0,-157.087813,Ca41,7/2,-,1.0,-157.087813,13.8274566,0.0133872435,0.0,13.8408438435,-2.478398,-5.81442,-0.271767,3.8111028237899855
24111,6,-0.347389784031,-0.352137646931,-0.346436021317,-0.255202894287,2.789459639443,1.016714226466,-0.025814968845,-1.173114194817,0.843037170003,0.567857783434,-0.875215889135,-0.738656850867,-0.534748542359,-0.608230254267,0.923811002799,-0.401198370376,0.171126088353,Ca41,7/2,-,1.0,-280.69686299999995,Ca41,7/2,-,1.0,-280.69686299999995,11.5244731,0.0108810347,0.0,11.5353541347,-2.420133,-4.839867,-0.32729,3.495570772377524
